filename,exists,size_bytes,english_variant,english_variant_exists,japanese_variant,japanese_variant_exists,status,english_ocr_sample
ch03-numpy-random-statistics-map-en.webp,True,265750,ch03-numpy-random-statistics-map-en.webp,True,ch03-numpy-random-statistics-map-en-ja.webp,False,localized_variant,Using random numbers for repeatable statistical experiments NumPy Statistics & Random Numbers ® Random Seed © Reproducible Experiment ' wv Experiment Run 1 import numpy as np << 2 . Z ae? ~\ rng = np.random.default_rng(:) M0’ \ {Sample Shuf
ch03-numpy-random-statistics-map-ja.webp,True,305584,ch03-numpy-random-statistics-map-ja-en.webp,False,ch03-numpy-random-statistics-map-ja.webp,True,localized_variant,"— SSS UU —-- NumPy#wegitvy 7 ~~ ja. sana umry LA J Aa a_i FB] he 7s Gt RRZID<S -! ROTO RhOTO7 HUT WER T-FIBOTOVIE KitO7OV7 | RbBRO7Oy7 | BRERS7Or7 ""| Seas = \ i F 3 ashy k eae = Us, ‘ah @ #9 ERISA AMER ti Z 3 Q 00 oF 1 ae c=) + bien ees | R"
ch03-numpy-reshape-axis-flow-en.webp,True,207432,ch03-numpy-reshape-axis-flow-en.webp,True,ch03-numpy-reshape-axis-flow-en-ja.webp,False,localized_variant,"° ° e sameetements, | NumPy: Reshaping & Axis Operations - newishape > Data stays the same, shape changes. = oe controls rection +, 1D Array (shape: 12,) ee 2D Matrix (shape: 3, 4) 1?) Caffe) 2 2 a reshape(3, 4) is |6|7|s | pl g Reshape kee"
ch03-numpy-reshape-axis-flow-ja.webp,True,222136,ch03-numpy-reshape-axis-flow-ja-en.webp,False,ch03-numpy-reshape-axis-flow-ja.webp,True,localized_variant,"4 IS o ZAK BE fe & SHIRE NumPy #2 ue eR oo = 1° vA * S\ \ F-PIEAL. BEWIEBDS ZZ 1D: 12R7che5 2D: 2-R7che5l 3D: 3R7che5I ap a reshape reshape Z| + AYFYIAN [1 [2] 3[4|5le) wesss wes (F[2[3 | (502542) AYFIIRO shape: (6,) ap en A eee 26 Eas shap"
ch03-numpy-view-copy-trap-en.webp,True,292280,ch03-numpy-view-copy-trap-en.webp,True,ch03-numpy-view-copy-trap-en-ja.webp,False,localized_variant,"e . NumPy View vs Copy j A slice may share memory with the original array. 7 so arr = np.array([1, 2, 3, 4, 5]) = 23 Original array = Cells live in one memory block. == ‘eo | ( f ry = 0 1 e4 3 4 i View | copy() 5 Slice points to the same ce"
ch03-numpy-view-copy-trap-ja.webp,True,383344,ch03-numpy-view-copy-trap-ja-en.webp,False,ch03-numpy-view-copy-trap-ja.webp,True,localized_variant,"NumPy view & copy slice (43¢ array & memory <HATSCEAHS. arr = np.array([1, 2, 3, 4, 5]) Peer ety te block 24. Inc 2 3 [4 | ii --------- fi] U memory block --------/ view copy() slice lSIU cell #87. ghia Lite cell &1FS. sub = arr[1:4] sub = "
ch03-pandas-cleaning-workflow-en.webp,True,659836,ch03-pandas-cleaning-workflow-en.webp,True,ch03-pandas-cleaning-workflow-en-ja.webp,False,localized_variant,e e e e Pandas Cleaning: Diagnose Before You Fix Do not start with dropna; inspect problem type and impact first. | dirty DataFrame | [inex] Name | Age | City | Salary | Join Dote_| i | Alice | 25 | _New York 70000 | 2023-01-15 I | Bob | _N
ch03-pandas-cleaning-workflow-ja.webp,True,701960,ch03-pandas-cleaning-workflow-ja-en.webp,False,ch03-pandas-cleaning-workflow-ja.webp,True,localized_variant,"| © GF . , yy “A d 4 so an * SA ff y {7-N 2° es CZ Fandas LyYy7: BTA 43) J Wt!) dropna ¢9"", Pao #8 Mic HF HM ERD. Bega Rc ea ie ae 35m DataFrame LoROEG A pa | a [eet [cy [ee [ee | [6 aera ro [ too | ae x Nat Pi [1002 [am % [NaN | None | s00"
ch03-pandas-groupby-split-apply-combine-en.webp,True,177824,ch03-pandas-groupby-split-apply-combine-en.webp,True,ch03-pandas-groupby-split-apply-combine-en-ja.webp,False,localized_variant,° ° ° Pandas GroupBy: Split-Apply-Combine Split O Apply i Combine Split by GroupBy Key Apply aggregation Combine results into a single table Group: Category = A aan ‘ ) Category | City | Sales | Quantity ! Apply aggregation | y 1 1 Raw Data
ch03-pandas-groupby-split-apply-combine-ja.webp,True,197610,ch03-pandas-groupby-split-apply-combine-ja-en.webp,False,ch03-pandas-groupby-split-apply-combine-ja.webp,True,localized_variant,"Pandas ® GroupBy [<&% split-apply-combine (3277) FW-FH- (COC MBA) CF-PERHL, SAI-Tic Rit eA. MREBALET. LDF —¥4 (DataFrame) @® 381 (Split) @ 348 (Apply) @ #4 (Combine) ""Bitsy CET -—FEDA BIN TIC RHT BREA RtPGReBALTIVOR|C Br ATA | Tk | Re RR RR"
ch03-pandas-merge-concat-join-en.webp,True,198832,ch03-pandas-merge-concat-join-en.webp,True,ch03-pandas-merge-concat-join-en-ja.webp,False,localized_variant,jek Pandas Data Merging “= How multiple tables become one analyzable big table. d. & (3) JOIN (on index) Combine tables using a common key. Stack tables vertically (row-wise). Combine tables using their index. Users Orders Products (55 Janu
ch03-pandas-merge-concat-join-ja.webp,True,255500,ch03-pandas-merge-concat-join-ja-en.webp,False,ch03-pandas-merge-concat-join-ja.webp,True,localized_variant,a Pandas O#86 - i - ei BAORE 1 DOHMAT—FICELHS QD tu+—cxe 9 9 ; EALOKEER (Hi) < © [fuser |juceriname [lage] forueral[ userid |Jproauctia) orderiéate | ([productal) productnaral) price userid [username] age | evderid| order date [producti pro
ch03-pandas-read-write-first-look-en.webp,True,291244,ch03-pandas-read-write-first-look-en.webp,True,ch03-pandas-read-write-first-look-en-ja.webp,False,localized_variant,"After Reading Data, Check First er neading Vata, UNeCK FIIs A file can open and still be parsed incorrectly. CSV Excel JSON SQL .cSV = = | 2024-05-01,Widget, 10, 19.99, 1 date product qty | price qty"": 10, ""price"": 19.99 },| PCOS SB Bae) 2 "
ch03-pandas-read-write-first-look-ja.webp,True,289616,ch03-pandas-read-write-first-look-ja-en.webp,False,ch03-pandas-read-write-first-look-ja.webp,True,localized_variant,"= * oa = = BROPIAATES, KS Hea AICI IS ueDs Bits RITE DPTILCS. BADRNTNSTEHHS. _JSON (Daa aaa t <= id,name, amount, date id | name amount date {""id"":1, ""name"":""Alice"", L Alice, 1200,2024-01-01 MMF giice | 1200 2004-01-01 “amount"":1200, Ban 2,"
ch03-pandas-resample-rolling-timeline-en.webp,True,252338,ch03-pandas-resample-rolling-timeline-en.webp,True,ch03-pandas-resample-rolling-timeline-en-ja.webp,False,localized_variant,Resample vs Rolling Resample changes frequency; rolling slides a window. Datetime FA Time index =S resample Convert dates first. > Putdateson [7] —om Group into new the index. time buckets. F h choose resample resample 7-Day Sales Timeline
ch03-pandas-resample-rolling-timeline-ja.webp,True,379666,ch03-pandas-resample-rolling-timeline-ja-en.webp,False,ch03-pandas-resample-rolling-timeline-ja.webp,True,localized_variant,"e resample & rolling oBFfHi# resample lds8B22 2, rolling SReRSHS, @ datetime | @ time index | © resample or rolling Be Hic PFABATK, > Aft index Ici<. ga resample * rolling #5. ——_———_—$ $f { ‘ ie 3 i ‘gate')|| | df.resample(...) a | AA: BRO"
ch03-pandas-roadmap-en.webp,True,453972,ch03-pandas-roadmap-en.webp,True,ch03-pandas-roadmap-en-ja.webp,False,localized_variant,"raw ile xcel she uery result table CSV fil Excel sheet JSON SQL It table ———— —. - a { id product price qty region CSV 4 ""ia"": 101, 101) A | 9.99) 2 | North “product”: ""A"", 102 B | 12.50, 1 | South ee BEB, | 103) A 9.99| 3 | East eae | 104 "
ch03-pandas-roadmap-ja.webp,True,424058,ch03-pandas-roadmap-ja-en.webp,False,ch03-pandas-roadmap-ja.webp,True,localized_variant,"omit ry Ke} andas 7 O—-RVy7 a ora =, erate L RBETMSRT. BAT ITF CES KOSVERS. : csv [x3 Excel fi} JSON 8 SQL 7LV GR [ce date | category | amount 1] pedicel) price Ja? || “| user_ic region signup_date ‘spenc i ect ae |e EIB ee Se nid"": 1, | id"
ch03-pandas-selection-filter-map-en.webp,True,261542,ch03-pandas-selection-filter-map-en.webp,True,ch03-pandas-selection-filter-map-en-ja.webp,False,localized_variant,e e e +o vw... Pandas: Data Selection & Filtering 2:5 (© to slice the data. e Pa You choose the A F ~ par yoll reed Pick out the part of a big table you actually want to see. + + a! The Big DataFrame 3 CORE IDEAS @ loc: select by label Inde
ch03-pandas-selection-filter-map-ja.webp,True,232128,ch03-pandas-selection-filter-map-ja-en.webp,False,ch03-pandas-selection-filter-map-ja.webp,True,localized_variant,"+ das F— FBR INAV T ~ Pandas It 7 KEGROS, VRERHCIEDOLT @ toc: santas Cas [ma [we | ae ae ee oo?) asqemeettor, JC DataFrame (fil) Gaara) (HSL) BEUF—B ER [ (=) ren ee eee eee » @ ioc : TBS = Oa ewe 0 2024-01-01 DAT RIN 2M 120 10 1,200 | RR i "
ch03-pandas-time-series-analysis-en.webp,True,257816,ch03-pandas-time-series-analysis-en.webp,True,ch03-pandas-time-series-analysis-en-ja.webp,False,localized_variant,"fes PANDAS TIME SERIES ANALYSIS > fi Make tables move along the timeline. TIMELINE 1. Date -> Time Index 3. Rolling Window: Smooth & Reveal Patterns 4, Real-World Scenarios Anwibats Raw Table (Spreadsheet) Time Index (Time-Aware Series) a —"
ch03-pandas-time-series-analysis-ja.webp,True,261740,ch03-pandas-time-series-analysis-ja-en.webp,False,ch03-pandas-time-series-analysis-ja.webp,True,localized_variant,Pandas FERIA 1. BARE SE IFRIAAICD THOU A PME ALM CT — 9S MT ST Patstinelde 2 Datetimelndex Ic LR F—9 (HMA 7 F792) aman a) SLOT—9 (BND) = Bf (sttinende (Oe Ee? [cee Tag [oe [om] OCT ay] [aozeoeat 0000 | «| ram | 10 | gat S [ameoear | A to |
ch03-pandas-transform-method-choice-en.webp,True,264962,ch03-pandas-transform-method-choice-en.webp,True,ch03-pandas-transform-method-choice-en-ja.webp,False,localized_variant,Start from what each column should become. | name | math | english | gender | department_code | city 0) Alice | 92 | 88 | F | A | Bu 1 | Bob | 72 | 7 | M | B | SH 2) Chen | 60 | 6 | M | 6 | @& 3 | Dina | 8 | 90 | F | A | sz 4 | fthn | 55 |
ch03-pandas-transform-method-choice-ja.webp,True,390816,ch03-pandas-transform-method-choice-ja-en.webp,False,ch03-pandas-transform-method-choice-ja.webp,True,localized_variant,"% ws Pandas Zi8XV yKOHUA EF, COW SAICEAEWDERS. FM DataFrame (df) a [OU ae 9 i a eS a ese TG 2 A | 1 |e | | SHE] a BR ice Me |G 7 | AT AB MN | hate | zai 1 ee ee ee ee) : BAY: gender, department_code DI-KESMICHAS 1; map xen HeERR HEB (map) H"
ch03-pandas-transform-pipeline-en.webp,True,237548,ch03-pandas-transform-pipeline-en.webp,True,ch03-pandas-transform-pipeline-en-ja.webp,False,localized_variant,"Transform raw fields into more useful analytical features A Pandas data transformation pipeline ie Transformations are not tricks. Understand Create nN Improve AX Make better => meaningful —> I ¥ > , They are how we shape data to match the "
ch03-pandas-transform-pipeline-ja.webp,True,189326,ch03-pandas-transform-pipeline-ja-en.webp,False,ch03-pandas-transform-pipeline-ja.webp,True,localized_variant,"8 4 py Oo — ® 7 ARS ] \ anaas 7 — Ha I1 7 fy EOWE. DMLPT MF ABA oj/el|e|e)\e/e| oe 277, OER || BOM apply TMI) HLUIAR SB BEC || M2088 |BSID Fe HH ASH BASH Be customer id) age_bin jin_date tenure days puchaseamt.2is.vip 001 25 B 2023/1/5 1200"
ch03-plotly-interactive-dashboard-en.webp,True,236796,ch03-plotly-interactive-dashboard-en.webp,True,ch03-plotly-interactive-dashboard-en-ja.webp,False,localized_variant,"e e Charts can be explored, not just viewed 100 | Sales ave increasing. 80 | - {e) 60 re) 40 20 7 | =~ 0 — Jan Feb Mar Apr May Jun Jul.» Aug. «ss Sep._-—s Oct’ «Ss Nov_—sCDec. a4 Interactive dashboard aa i uu. % ece €.Cc w = Plotly dashboar"
ch03-plotly-interactive-dashboard-ja.webp,True,251958,ch03-plotly-interactive-dashboard-ja-en.webp,False,ch03-plotly-interactive-dashboard-ja.webp,True,localized_variant,"9° es @ S DATs AStelt Ce<. ‘& a & he), IRR TES: Es — A ale “ £ pork _/ DBCDORMME | BATHS or AYBSITADIIIAF—K eo? asp «& + we 120 a) in eal | Te | | HbiehC bc dain ated nak AFA v e . Oo e@ : | o . 7 ee — ~ o y ( a neti thant WSUS ART ye ROMWE"
ch03-pure-python-data-flow-en.webp,True,387122,ch03-pure-python-data-flow-en.webp,True,ch03-pure-python-data-flow-en-ja.webp,False,localized_variant,"""J e Zo —— | m= Why Data Processing i a & 3 P nd P. andas “as = Cleaner Flow | Needs NumPy a Bt a i \ = & - CSV Input — NumPy @ Manual Parse zi | CSV Input | a » ring | a> ate, Product, Sales, Region lit b | | | | | Date, Product, Sales, Re"
ch03-pure-python-data-flow-ja.webp,True,458524,ch03-pure-python-data-flow-ja-en.webp,False,ch03-pure-python-data-flow-ja.webp,True,localized_variant,"S _—~ , WE FF EB | ze i NG GIRO | ied —4 iad € Br rasosscapien | A” Pryemcnt \ N nat \ Rn) pa i 8H eH teenie i 4-708 . 74 NumPy & Pandas *k2to Bo coo ~ : LS Feeamrsance.. it \ gic AIS LY > @csvan )\ — @ He Python oF es GeMKOEMLET) =») @ BR)"
ch03-python-database-bridge-en.webp,True,360056,ch03-python-database-bridge-en.webp,True,ch03-python-database-bridge-en-ja.webp,False,localized_variant,e e Python and Database Collaboration Bridge How Code Really Collaborates with a Database Python App — At NT © Cursor (3) Query (4) Fetch Resuts 1 \N ) _. | (1) Connection | Creates acursor | | Executes J Retrieves } N ——— = =| 2 | — Establ
ch03-python-database-bridge-ja.webp,True,231264,ch03-python-database-bridge-ja-en.webp,False,ch03-python-database-bridge-ja.webp,True,localized_variant,"ot AS Python ¢7—-9YN—-AEDE< 15 Qe MEVH(CT-JEPVYUMVIL, DHL CMBZEANS TiN Python JOFDL / FTUF—Yay al 3 F-INR-2 y l SQL 49929 ay Milk ra r BINFA—PWCI LV EEL, a st A-Y-ANETORE SQL [MHDS LV! = | | Fes a ti ' | oe a aa fat | | > -- aT | | ioe > pa"
ch03-python-database-safety-vertical-en.webp,True,135632,ch03-python-database-safety-vertical-en.webp,True,ch03-python-database-safety-vertical-en-ja.webp,False,localized_variant,Safe Python Database Workflow tickets table -> parameterized SQL -> Pandas summary -> ticket_summary write-back Connect and Model Turn the application question into a clear tickets table. Application question: which open id PK tickets need
ch03-python-database-safety-vertical-ja.webp,True,129594,ch03-python-database-safety-vertical-ja-en.webp,False,ch03-python-database-safety-vertical-ja.webp,True,localized_variant,"mAtFt => » » LEK Python 7-—9¥R-ABE tickets # -> N7X—4K SQL -> Pandas $it -> ticket_summary #2 HL HRC ET IVE PPFUOMW2, BAS tickets RICE LUGE. F7UORW: ZO open id PK FTYREBRT NED? customer status REIe SQL priority first_reply_minutes SELECT * "
ch03-relational-database-foundation-en.webp,True,326792,ch03-relational-database-foundation-en.webp,True,ch03-relational-database-foundation-en-ja.webp,False,localized_variant,"From Spreadsheet to Reliable Database A database is not a bigger CSV; it is a system for long-term data management. f . . . Messy sheet Tables Constraint / transaction Repeated facts make Store customers, orders, Reduce dirty and edits conf"
ch03-relational-database-foundation-ja.webp,True,404204,ch03-relational-database-foundation-ja-en.webp,False,ch03-relational-database-foundation-ja.webp,True,localized_variant,"= ey fo mat . Ret RD O(a CEST—AN—-AN A a & a i Al Sys F—-FXR—-AlEKES CSV CHS<, RHF -FERBOLHS. an LRA ete Tare meen tecennns tema an ALN table constraint / transaction | BENS <. BAMGRLPETU. BS, EX. BRED TRE. | FEF Zep EEE EH EHC. | | Crs | ‘"
ch03-study-guide-data-loop-vertical-en.webp,True,479936,ch03-study-guide-data-loop-vertical-en.webp,True,ch03-study-guide-data-loop-vertical-en-ja.webp,False,localized_variant,"= i mages) af Th llest ""| | r e smalles maples . . | tudy Gude I} data anal tice | Study ""v= |, Gata analysis practice loo a ——— fetes Y fe loop. @ Read ae [rn [on [Se i. 1001 | 2024-01-01 | North | Widget | 1200 | 2 | gra N Ba | s0cz | ozs"
ch03-study-guide-data-loop-vertical-ja.webp,True,272766,ch03-study-guide-data-loop-vertical-ja-en.webp,False,ch03-study-guide-data-loop-vertical-ja.webp,True,localized_variant,"amt? [=] F—-INBBORML-T O Haat | CSV , aS ap O ness, ™ aft -—--- 2m skh ose Omi 8 Oa: . Ores, &. Aft aa Sit 2m =] ane ee ie ""gis eo Fell |! Ev | ae = a Sr ars | 8957 I~ Saaiae ‘ 0. => we, LUE Omnss ene & 'o | BREAKS. RIMDABKK. | Wy IN | S om"
ch03-visualization-roadmap-en.webp,True,185054,ch03-visualization-roadmap-en.webp,True,ch03-visualization-roadmap-en-ja.webp,False,localized_variant,"r First learn to choose the right chart, . a. then learn to polish it. . IL ; ae Charts are for answering questions, not for decoration. | | 7) Trend e----"""" Ww Line Chart T) Git cht Analysis Report | : | | al) Comparison @----~~ | I f Bar "
ch03-visualization-roadmap-ja.webp,True,146712,ch03-visualization-roadmap-ja-en.webp,False,ch03-visualization-roadmap-ja.webp,True,localized_variant,"F—-IAMitOFRBA-KVITZ © KI TMABAEWD 1 ZRHS © B32 UI N a & eae ot tea 8 mae em y ee° Heller 4) BAYT <BAS [ (T) orte Li ssn | [E=|;n (©) ae | , Cbs BRM TIEE<, MUiKBASEHOED)—"
ch04-ai-math-backbone-en.webp,True,267246,ch04-ai-math-backbone-en.webp,True,ch04-ai-math-backbone-en-ja.webp,False,localized_variant,Minimum Al Math Loop Math is not a formula wall; it is the toolchain a model repeats during training. (1) Vector / matrix (2) Probability Write samples as Express model computable numbers. uncertainty. 0.5 [1 [2] 0| Fo ™® 2 [o| 3|1|x=|9 0 1
ch04-ai-math-backbone-ja.webp,True,536814,ch04-ai-math-backbone-ja-en.webp,False,ch04-ai-math-backbone-ja.webp,True,localized_variant,"yo —| ° — ALR FoR L—-7 hol BAAHORCSE<, FRCRVRITBLORN. 1 | <ul. if i } ¢ 2 oe | ae i | S el P= 0.72 | | } ae ey x MODEL | ""ee } p les Pow) | eames } ——— =o | loss= | : Pc |= i. (4 ear w: 0.80 > 0.76 J (3) toss | Hee aa: | i ‘ i 4, a q i grad"
ch04-ai-math-en.webp,True,537532,ch04-ai-math-en.webp,True,ch04-ai-math-en-ja.webp,False,localized_variant,"\ ©. AT Math: One Runnable Model Loop | Represent data, compare similarity, estimate probabilities, compute loss, update parameters. ) represent data matrix War vector [Te [aa hye] | 021 pawl ox [asi [ona aor | [aa | BE | aay, oven [ost [am"
ch04-ai-math-ja.webp,True,629156,ch04-ai-math-ja-en.webp,False,ch04-ai-math-ja.webp,True,localized_variant,"="" 4 wD, | AL RE: HOUCSETI BR F-IERL, FAW ELAN, REHEL, loss £3t HL, parameters t £9f4%. F-IERF vector matrix £F-9 () [e3i | FS | al rsencae > [22] Yon Pose [oss] . ‘ 0.10 Be [Benes [EE] [afew [oa [os] m J B= FTL, B= HR MOL ee 5 Python vs da"
ch04-backprop-chain-rule-training-bridge-en.webp,True,222754,ch04-backprop-chain-rule-training-bridge-en.webp,True,ch04-backprop-chain-rule-training-bridge-en-ja.webp,False,localized_variant,° . A ° Backpropagation & the Chain Rule: The Bridge from Loss to Parameters Forward computation produces the loss. Backward pass (PyTorch backward) automatically applies the chain rule to send gradients back and compute how each parameter
ch04-backprop-chain-rule-training-bridge-ja.webp,True,231626,ch04-backprop-chain-rule-training-bridge-ja-en.webp,False,ch04-backprop-chain-rule-training-bridge-ja.webp,True,localized_variant,"* == * PA ins CREO IBGE CHR LMED SHRASHL, COMME BME CUMS CRATNIA-FEBMTS IHR (7 a 'I—KINZ) F-FENDA-IODOWMHACBKEHA (AMSA) FB 1 (#876 + Ste IL) FB 2 ($6 +s tett) haw wh An 2) = Wx +5 2 = Wa + p@ 2) = Wak) +50 iE y ($0818 3) x a = $(2"") a? = $("
ch04-calculus-roadmap-vertical-en.webp,True,126700,ch04-calculus-roadmap-vertical-en.webp,True,ch04-calculus-roadmap-vertical-en-ja.webp,False,localized_variant,Calculus & Optimization Study Loop of) a Derivatives : rate of change v 2) \|7 — Gradients aS direction ) Ws Gradient Descent * update 4) pecs Backpropagation rea chain rule G From change to learning
ch04-calculus-roadmap-vertical-ja.webp,True,123866,ch04-calculus-roadmap-vertical-ja-en.webp,False,ch04-calculus-roadmap-vertical-ja.webp,True,localized_variant,min ot ¢ a i{C -RI-T7 PSY. ae MIN 58 Le * i — © Rtemseen
ch04-calculus-training-flow-en.webp,True,230080,ch04-calculus-training-flow-en.webp,True,ch04-calculus-training-flow-en-ja.webp,False,localized_variant,How does a model actually learn? From loss to better predictions: gradients guide the parameters. @ Loss C3] Gradient @ Gradient Descent 5] Backpropagation © Update Parameters The model makes How does the loss Combine all partial Move param
ch04-calculus-training-flow-ja.webp,True,279154,ch04-calculus-training-flow-ja-en.webp,False,ch04-calculus-training-flow-ja.webp,True,localized_variant,"mvt EFIMSCSPITFAI SOM |= -- D> MEHR (ARON) MED CmIEILNO<SFBOL< SH Seber eon: @ i8XX (Loss) © ___#tz#B (Backpropagation) © BE (Gradient) PREEROAL EHTS RBAYEI-PEKODREMEL<L HATS TFATONSX-VORBRELDS tS xixavae Loss MEAI“FUT. BECAME |, gt aCe. Se"
ch04-chain-rule-backward-pass-en.webp,True,272340,ch04-chain-rule-backward-pass-en.webp,True,ch04-chain-rule-backward-pass-en-ja.webp,False,localized_variant,a es | —— Forward pass | 1) 2.3 Backward Pass nee | \ <4— Backward pass \ Backward pass Input Layer 1 Layer2 |\ (right > left) } starts from the loss (pre-activation) (output) i cee ee and sends gradients a = backward through [x Fa SEs ley
ch04-chain-rule-backward-pass-ja.webp,True,285550,ch04-chain-rule-backward-pass-ja-en.webp,False,ch04-chain-rule-backward-pass-ja.webp,True,localized_variant,"@ 2.3 i458 (Backward Pass) pear deg [tet 3 1K S28 BAD SBEY. (EPSEA) | (BTEC 7) (Hd) ARLADSEN aH 21 = Wx + by y=weh+be HAR Be [2 )+1@+@ LO) e-0-m \ h = ReLU(z;) Rs Mh ~S, (¥ RRM (EDSEN) | By xCONISX—8 J YoY YF @ (wy, by, we, be) © @ akitc om"
ch04-chain-rule-calculation-example-en.webp,True,217376,ch04-chain-rule-calculation-example-en.webp,True,ch04-chain-rule-calculation-example-en-ja.webp,False,localized_variant,"@ 1.3 Calculation Example Break a hard function into small steps. VPN u=3x+2 > y=Wv ty) 0. ua ws oy, @ 2) Let’s plug in a value! Step by ae step! u=3x+2 y=u les = JOG aS € = © Find each local change rate. Chain rule Inner function | dy dy _"
ch04-chain-rule-calculation-example-ja.webp,True,249972,ch04-chain-rule-calculation-example-ja-en.webp,False,ch04-chain-rule-calculation-example-ja.webp,True,localized_variant,"@ 1.3 #36) eH ts BE WS eFC A Rs AFIT: AFIT 2: Nay My PA OD BS SME OD BSE iN @ witerarcimrtass! ina cat tnisOK! ATFIT1: usHER | | AT YF 2:y THE = aa = Cs tad ase a ly, 7D : ? i223, % x=1Mk%, u=5, y=25 © srrr7onteernr, ameeiess! ame PREBBLE u"
ch04-chain-rule-forward-pass-en.webp,True,245420,ch04-chain-rule-forward-pass-en.webp,True,ch04-chain-rule-forward-pass-en-ja.webp,False,localized_variant,"@ 2.2 Forward Pass We feed the Input § oa input and parameters =i —=—_, A eae ee etme er into the network. ( \ Parameters . Layer1 Layer2 Output \ | ! | » NEURAL NETWORK | We will compute step by step 4) 2) a & (¥ lavava from left to right."
ch04-chain-rule-forward-pass-ja.webp,True,271866,ch04-chain-rule-forward-pass-ja-en.webp,False,ch04-chain-rule-forward-pass-ja.webp,True,localized_variant,"@ 2.2 line An : - ANENGX—-3E aot pete bree * neta a a ( Hiown (aDse~) | ae ie Gillen co ! , | B-O-0-0) =) i a aR Ran y (ww, \—> =1-7)b4yb9-9 || | y oe WES : me (+> CS @ #18: HBL CHER A pie pe ge 2cheRe 1m Wz eRe Z,=W,-x+d, A OG (81 BORE) _ "
ch04-chain-rule-full-training-loop-en.webp,True,255758,ch04-chain-rule-full-training-loop-en.webp,True,ch04-chain-rule-full-training-loop-en-ja.webp,False,localized_variant,"4. Full Example: Training a Small Network 1) Training Loop ( Tiny network (1 hidden neuron) —_ y Noisy data | bite | i ree Activation Output | We have noisy \ 6 7, , | Pre-act. (ReLU) (linear) | data from 54. eo, Re). Ya Or@-Ore ; x =» as A"
ch04-chain-rule-full-training-loop-ja.webp,True,277660,ch04-chain-rule-full-training-loop-ja-en.webp,False,ch04-chain-rule-full-training-loop-ja.webp,True,localized_variant,"= 5 A 4. KEG: NEBRYKI-ZeFRITS a P| iE ae ed Ce. ae” BELLE O 21-7 5.) yeinaess eBay KINF (Bn=a—o71f8) | ET. y=xO ; 7 yee aE iBtite A saxtar—se \ fF, i (RelU) ($8) aybI-9t | at re '° wartass!/ 4/4 / » Z 2 ve °/ ) Qo = x » (0 2-100 1 2 ee ~~ i"
ch04-chain-rule-multilayer-en.webp,True,278684,ch04-chain-rule-multilayer-en.webp,True,ch04-chain-rule-multilayer-en-ja.webp,False,localized_variant,"@ 1.4 Multi-layer Chain Rule A complex function Machine 1: Machine 2: Machine 3: can be built by Square Exponential Sine stacking small machines! ( >) (— 5 » , Ges h. : —_—: . = \ ae N WY 2) Forward pass: compute and save values. ity me aes"
ch04-chain-rule-multilayer-ja.webp,True,296520,ch04-chain-rule-multilayer-ja-en.webp,False,ch04-chain-rule-multilayer-ja.webp,True,localized_variant,"© 1.4 ROBE MEDS, We 13 BOE =k = or er —_— [-- Z ih f OF mesh |@eslh | gee SHOBH: y = sin(exp(x?)) © ae: eee CHMeRE x= 05% An 815 828 83K eee x= 0.5 a=x? b=exp(a) | | y=sin(b) LtHKS! = (0.5)? = exp(0.25)| | =sin(1.2840) B = 1.2840)| | (= 0.9"
ch04-chain-rule-parameter-update-en.webp,True,277170,ch04-chain-rule-parameter-update-en.webp,True,ch04-chain-rule-parameter-update-en-ja.webp,False,localized_variant,"@ 2.4 Parameter Update iia ave four Parameters parameters. Each one Wi b, W b, receives a gradient + * * o Gradients tell us from the backward rf ww how to adjust each pass. ; parameter! ) gradient gradient gradient gradient \\ @; is e dL d"
ch04-chain-rule-parameter-update-ja.webp,True,284186,ch04-chain-rule-parameter-update-ja-en.webp,False,ch04-chain-rule-parameter-update-ja.webp,True,localized_variant,"© 2.4 N5x-9ER NZA-Y 42ONFX-Fld, COBRA SHE CHIL te wt a ie be | /enenome AREBUMSS! / | “a.| Joo | | “Za. || “aa. Ze 4 = - | +) - +) |= { +) /- { + a } f p, [ tke ame ae ae ) ( i | de | | at | | ae | | at | @ i dw, db, dw, db, SO ue 12 @ \5x-"
ch04-derivative-change-rate-bridge-en.webp,True,214330,ch04-derivative-change-rate-bridge-en.webp,True,ch04-derivative-change-rate-bridge-en-ja.webp,False,localized_variant,Derivative as a Bridge for Rate of Change The first foundation for optimization and learning 2 5 1. Local Change: One Variable - 455 — 2. Many Variables: From Slope to Gradient Quantity — eZ “4 ~~ Qn Rate of change 4 Instantaneous speed Los
ch04-derivative-change-rate-bridge-ja.webp,True,240964,ch04-derivative-change-rate-bridge-ja-en.webp,False,ch04-derivative-change-rate-bridge-ja.webp,True,localized_variant,- RMS BibetH). RieitoLa ~ * : a .mua(tLore Vy SR = Vibe | SEMTIs gradient ] EFIEMANAVENS y | ISTE DIAL (AON) BROBEP OU FA-F grallordideseant Pas sie (5 i L Cnet gradient e RK EDSD (aeanko ne) —— \ea | x q parameter update ' / Te NERS CER '
ch04-distribution-random-world-map-en.webp,True,530806,ch04-distribution-random-world-map-en.webp,True,ch04-distribution-random-world-map-en-ja.webp,False,localized_variant,‘ D a a 2 _ Distribution: Shape of Randomness ae . A Do not memorize names first; see the shape after many repeats. . | Random variable Repeated trials \ One outcomeis PO QOOOOVO... Many outcomes _ only one point. @O@OOOQO....... form a sha
